tiempo,x,y,vx,vy
3.1,155.0,45.86294999999999,50.0,-0.41100000000000136
3.11,155.5,45.8583495,50.0,-0.5091000000000001
3.12,156.0,45.852768000000005,50.0,-0.6072000000000024
3.13,156.5,45.846205499999996,50.0,-0.7053000000000011
3.14,157.0,45.838662,50.0,-0.8034000000000034
3.15,157.5,45.8301375,50.0,-0.9015000000000022
3.16,158.0,45.820632,50.0,-0.9996000000000045
3.17,158.5,45.81014549999999,50.0,-1.0976999999999997
3.18,159.0,45.798677999999995,50.0,-1.195800000000002
3.19,159.5,45.7862295,50.0,-1.2939000000000007
3.2,160.0,45.77279999999999,50.0,-1.392000000000003
3.21,160.5,45.75838949999999,50.0,-1.4901000000000018
3.22,161.0,45.742998,50.0,-1.588200000000004
3.23,161.5,45.726625500000004,50.0,-1.6863000000000028
3.24,162.0,45.70927199999999,50.0,-1.784400000000005
3.25,162.5,45.6909375,50.0,-1.8825000000000003
3.2600000000000002,163.0,45.671622000000006,50.0,-1.9806000000000026
3.27,163.5,45.65132549999999,50.0,-2.078700000000005
3.2800000000000002,164.0,45.630047999999995,50.0,-2.176800000000007
3.29,164.5,45.6077895,50.0,-2.2749000000000024
3.3000000000000003,165.0,45.58455,50.0,-2.3730000000000047
3.31,165.5,45.56032949999999,50.0,-2.4711
3.3200000000000003,166.0,45.535128,50.0,-2.569200000000002
3.33,166.5,45.5089455,50.0,-2.6673000000000044
3.34,167.0,45.48178199999999,50.0,-2.7653999999999996
3.35,167.5,45.4536375,50.0,-2.863500000000002
3.36,168.0,45.424512,50.0,-2.961599999999997
3.37,168.5,45.3944055,50.0,-3.0596999999999994
3.38,169.0,45.36331799999999,50.0,-3.1578000000000017
3.39,169.5,45.3312495,50.0,-3.255900000000004
3.4,170.0,45.2982,50.0,-3.353999999999999
3.41,170.5,45.2641695,50.0,-3.4521000000000015
3.42,171.0,45.229158,50.0,-3.550200000000004
3.43,171.5,45.1931655,50.0,-3.648300000000006
3.44,172.0,45.156192000000004,50.0,-3.7464000000000013
3.45,172.5,45.11823749999999,50.0,-3.8445000000000036
3.46,173.0,45.07930199999999,50.0,-3.9425999999999988
3.47,173.5,45.0393855,50.0,-4.040700000000001
3.48,174.0,44.998488,50.0,-4.138800000000003
3.49,174.5,44.95660949999999,50.0,-4.236900000000006
3.5,175.0,44.91375,50.0,-4.335000000000001
3.5100000000000002,175.5,44.8699095,50.0,-4.433100000000003
3.52,176.0,44.825087999999994,50.0,-4.5312000000000054
3.5300000000000002,176.5,44.77928549999999,50.0,-4.629300000000008
3.54,177.0,44.732502,50.0,-4.727400000000003
3.5500000000000003,177.5,44.6847375,50.0,-4.825500000000005
3.56,178.0,44.635991999999995,50.0,-4.9236
3.5700000000000003,178.5,44.586265499999996,50.0,-5.021700000000003
3.58,179.0,44.535558,50.0,-5.119800000000005
3.59,179.5,44.48386949999999,50.0,-5.2179
3.6,180.0,44.43119999999999,50.0,-5.3160000000000025
3.61,180.5,44.37754949999999,50.0,-5.414099999999998
3.62,181.0,44.322918,50.0,-5.5122
3.63,181.5,44.26730549999999,50.0,-5.610300000000002
3.64,182.0,44.210712,50.0,-5.708400000000005
3.65,182.5,44.1531375,50.0,-5.8065
3.66,183.0,44.094582,50.0,-5.904600000000002
3.67,183.5,44.035045499999995,50.0,-6.002700000000004
3.68,184.0,43.97452799999999,50.0,-6.100800000000007
3.69,184.5,43.91302950000001,50.0,-6.198900000000002
3.7,185.0,43.850549999999984,50.0,-6.297000000000004
3.71,185.5,43.78708949999999,50.0,-6.395099999999999
3.72,186.0,43.72264799999999,50.0,-6.493200000000002
3.73,186.5,43.657225499999996,50.0,-6.591300000000004
3.74,187.0,43.59082199999999,50.0,-6.689400000000006
3.75,187.5,43.5234375,50.0,-6.787500000000001
3.7600000000000002,188.0,43.455072,50.0,-6.885600000000004
3.77,188.5,43.38572549999999,50.0,-6.983699999999999
3.7800000000000002,189.0,43.315398,50.0,-7.081800000000001
3.79,189.5,43.2440895,50.0,-7.1799000000000035
3.8000000000000003,190.0,43.171800000000005,50.0,-7.278000000000006
3.81,190.5,43.0985295,50.0,-7.376100000000001
3.8200000000000003,191.0,43.024277999999995,50.0,-7.474200000000003
3.83,191.5,42.9490455,50.0,-7.572300000000006
3.84,192.0,42.87283199999999,50.0,-7.670400000000001
3.85,192.5,42.795637499999984,50.0,-7.768500000000003
3.86,193.0,42.717462,50.0,-7.866599999999998
3.87,193.5,42.6383055,50.0,-7.964700000000001
3.88,194.0,42.558167999999995,50.0,-8.062800000000003
3.89,194.5,42.47704949999999,50.0,-8.160900000000005
3.9,195.0,42.394949999999994,50.0,-8.259
3.91,195.5,42.3118695,50.0,-8.357100000000003
3.92,196.0,42.227807999999996,50.0,-8.455199999999998
3.93,196.5,42.142765499999996,50.0,-8.5533
3.94,197.0,42.056742,50.0,-8.651400000000002
3.95,197.5,41.969737499999994,50.0,-8.749500000000005
3.96,198.0,41.88175199999999,50.0,-8.8476
3.97,198.5,41.792785499999994,50.0,-8.945700000000002
3.98,199.0,41.702838,50.0,-9.043800000000005
3.99,199.5,41.611909499999996,50.0,-9.141900000000007
4.0,200.0,41.519999999999996,50.0,-9.240000000000002
4.01,200.5,41.4271095,50.0,-9.338099999999997
4.0200000000000005,201.00000000000003,41.333237999999994,50.0,-9.436200000000007
4.03,201.5,41.23838549999998,50.0,-9.534300000000002
4.04,202.0,41.142551999999995,50.0,-9.632400000000004
4.05,202.5,41.0457375,50.0,-9.7305
4.0600000000000005,203.00000000000003,40.947942,50.0,-9.828600000000009
4.07,203.5,40.8491655,50.0,-9.926700000000004
4.08,204.0,40.749408,50.0,-10.024800000000006
4.09,204.5,40.6486695,50.0,-10.122900000000001
4.1,204.99999999999997,40.54694999999998,50.0,-10.220999999999997
4.11,205.50000000000003,40.4442495,50.0,-10.319100000000006
4.12,206.0,40.340568000000005,50.0,-10.417200000000001
4.13,206.5,40.23590549999999,50.0,-10.515300000000003
4.14,206.99999999999997,40.13026199999999,50.0,-10.613399999999999
4.15,207.50000000000003,40.02363749999999,50.0,-10.711500000000008
4.16,208.0,39.916032,50.0,-10.809600000000003
4.17,208.5,39.807445499999986,50.0,-10.907699999999998
4.18,209.0,39.697878,50.0,-11.0058
4.19,209.50000000000003,39.587329499999996,50.0,-11.103900000000003
